min,Intensity
1.09166667,-356.000000
1.10000000,-356.000000
1.10833333,-356.000000
1.11666667,-357.000000
1.12500000,-357.000000
1.13333333,-404.000000
1.14166667,-404.000000
1.15000000,-404.000000
1.15833333,-404.000000
1.16666667,-402.000000
1.17500000,-358.000000
1.18333333,-357.000000
1.19166667,-355.000000
1.20000000,-356.000000
1.20833333,-357.000000
1.21666667,-356.000000
1.22500000,-357.000000
1.23333333,-403.000000
1.24166667,-405.000000
1.25000000,-404.000000
1.25833333,-405.000000
1.26666667,-404.000000
1.27500000,-403.000000
1.28333333,-405.000000
1.29166667,-403.000000
1.30000000,-404.000000
1.30833333,-402.000000
1.31666667,-404.000000
1.32500000,-402.000000
1.33333333,-404.000000
1.34166667,-402.000000
1.35000000,-356.000000
1.35833333,-356.000000
1.36666667,-356.000000
1.37500000,-356.000000
1.38333333,-356.000000
1.39166667,-402.000000
1.40000000,-403.000000
1.40833333,-356.000000
1.41666667,-357.000000
1.42500000,-356.000000
1.43333333,-358.000000
1.44166667,-357.000000
1.45000000,-357.000000
1.45833333,-357.000000
1.46666667,-357.000000
1.47500000,-405.000000
1.48333333,-404.000000
1.49166667,-403.000000
1.50000000,-403.000000
1.50833333,-403.000000
1.51666667,-404.000000
1.52500000,-405.000000
1.53333333,-403.000000
1.54166667,-405.000000
1.55000000,-404.000000
1.55833333,-404.000000
1.56666667,-403.000000
1.57500000,-403.000000
1.58333333,-402.000000
1.59166667,-402.000000
1.60000000,-403.000000
1.60833333,-404.000000
1.61666667,-356.000000
1.62500000,-403.000000
1.63333333,-404.000000
1.64166667,-402.000000
1.65000000,-405.000000
1.65833333,-356.000000
1.66666667,-357.000000
1.67500000,-357.000000
1.68333333,-404.000000
1.69166667,-402.000000
1.70000000,-405.000000
1.70833333,-403.000000
1.71666667,-354.000000
1.72500000,-402.000000
1.73333333,-402.000000
1.74166667,-402.000000
1.75000000,-404.000000
1.75833333,-354.000000
1.76666667,-405.000000
1.77500000,-405.000000
1.78333333,-405.000000
1.79166667,-403.000000
1.80000000,-404.000000
1.80833333,-404.000000
1.81666667,-403.000000
1.82500000,-357.000000
1.83333333,-405.000000
1.84166667,-404.000000
1.85000000,-356.000000
1.85833333,-357.000000
1.86666667,-358.000000
1.87500000,-405.000000
1.88333333,-406.000000
1.89166667,-404.000000
1.90000000,-405.000000
1.90833333,-404.000000
1.91666667,-357.000000
1.92500000,-358.000000
1.93333333,-358.000000
1.94166667,-404.000000
1.95000000,-404.000000
1.95833333,-406.000000
1.96666667,-404.000000
1.97500000,-404.000000
1.98333333,-405.000000
1.99166667,-406.000000
2.00000000,-406.000000
2.00833333,-403.000000
2.01666667,-405.000000
2.02500000,-405.000000
2.03333333,-405.000000
