min,Intensity
3.26666667,-400.000000
3.27500000,-400.000000
3.28333333,-401.000000
3.29166667,-401.000000
3.30000000,-401.000000
3.30833333,-400.000000
3.31666667,-401.000000
3.32500000,-401.000000
3.33333333,-401.000000
3.34166667,-401.000000
3.35000000,-401.000000
3.35833333,-401.000000
3.36666667,-401.000000
3.37500000,-401.000000
3.38333333,-401.000000
3.39166667,-403.000000
3.40000000,-400.000000
3.40833333,-402.000000
3.41666667,-401.000000
3.42500000,-401.000000
3.43333333,-400.000000
3.44166667,-400.000000
3.45000000,-401.000000
3.45833333,-401.000000
3.46666667,-400.000000
3.47500000,-401.000000
3.48333333,-400.000000
3.49166667,-400.000000
3.50000000,-399.000000
3.50833333,-400.000000
3.51666667,-401.000000
3.52500000,-400.000000
3.53333333,-400.000000
3.54166667,-399.000000
3.55000000,-401.000000
3.55833333,-400.000000
3.56666667,-400.000000
3.57500000,-401.000000
3.58333333,-399.000000
3.59166667,-352.000000
3.60000000,-401.000000
3.60833333,-400.000000
3.61666667,-402.000000
3.62500000,-353.000000
3.63333333,-401.000000
3.64166667,-401.000000
3.65000000,-401.000000
3.65833333,-401.000000
3.66666667,-401.000000
3.67500000,-401.000000
3.68333333,-400.000000
3.69166667,-401.000000
3.70000000,-400.000000
3.70833333,-401.000000
3.71666667,-410.000000
3.72500000,-408.000000
3.73333333,-406.000000
3.74166667,-402.000000
3.75000000,-401.000000
3.75833333,-401.000000
3.76666667,-401.000000
3.77500000,-401.000000
3.78333333,-401.000000
3.79166667,-401.000000
3.80000000,-401.000000
3.80833333,-400.000000
3.81666667,-400.000000
3.82500000,-401.000000
3.83333333,-402.000000
3.84166667,-402.000000
3.85000000,-401.000000
3.85833333,-401.000000
3.86666667,-400.000000
3.87500000,-400.000000
3.88333333,-401.000000
3.89166667,-401.000000
3.90000000,-398.000000
3.90833333,-400.000000
3.91666667,-401.000000
3.92500000,-400.000000
3.93333333,-400.000000
3.94166667,-401.000000
3.95000000,-399.000000
3.95833333,-401.000000
3.96666667,-402.000000
3.97500000,-410.000000
3.98333333,-408.000000
3.99166667,-401.000000
4.00000000,-402.000000
4.00833333,-408.000000
4.01666667,-410.000000
4.02500000,-401.000000
4.03333333,-402.000000
4.04166667,-400.000000
4.05000000,-401.000000
4.05833333,-401.000000
4.06666667,-401.000000
4.07500000,-401.000000
4.08333333,-401.000000
4.09166667,-403.000000
4.10000000,-402.000000
4.10833333,-352.000000
4.11666667,-400.000000
4.12500000,-401.000000
4.13333333,-401.000000
4.14166667,-401.000000
4.15000000,-401.000000
4.15833333,-408.000000
4.16666667,-409.000000
4.17500000,-400.000000
4.18333333,-401.000000
4.19166667,-401.000000
4.20000000,-402.000000
4.20833333,-400.000000
4.21666667,-400.000000
4.22500000,-401.000000
4.23333333,-408.000000
4.24166667,-400.000000
4.25000000,-401.000000
4.25833333,-401.000000
4.26666667,-410.000000
4.27500000,-401.000000
4.28333333,-403.000000
4.29166667,-401.000000
4.30000000,-401.000000
4.30833333,-401.000000
4.31666667,-401.000000
4.32500000,-401.000000
4.33333333,-400.000000
4.34166667,-401.000000
4.35000000,-401.000000
4.35833333,-400.000000
4.36666667,-401.000000
4.37500000,-401.000000
4.38333333,-409.000000
4.39166667,-410.000000
4.40000000,-410.000000
4.40833333,-401.000000
4.41666667,-400.000000
4.42500000,-401.000000
4.43333333,-401.000000
4.44166667,-400.000000
4.45000000,-403.000000
4.45833333,-402.000000
4.46666667,-401.000000
4.47500000,-401.000000
4.48333333,-400.000000
4.49166667,-401.000000
4.50000000,-400.000000
4.50833333,-401.000000
4.51666667,-402.000000
4.52500000,-407.000000
4.53333333,-402.000000
4.54166667,-401.000000
4.55000000,-400.000000
4.55833333,-408.000000
4.56666667,-411.000000
4.57500000,-408.000000
4.58333333,-402.000000
4.59166667,-400.000000
4.60000000,-401.000000
4.60833333,-403.000000
4.61666667,-402.000000
4.62500000,-400.000000
4.63333333,-401.000000
4.64166667,-401.000000
4.65000000,-400.000000
4.65833333,-401.000000
4.66666667,-402.000000
4.67500000,-402.000000
4.68333333,-402.000000
4.69166667,-401.000000
4.70000000,-401.000000
4.70833333,-401.000000
4.71666667,-403.000000
4.72500000,-403.000000
4.73333333,-401.000000
4.74166667,-402.000000
4.75000000,-355.000000
4.75833333,-402.000000
4.76666667,-402.000000
4.77500000,-403.000000
4.78333333,-402.000000
4.79166667,-410.000000
4.80000000,-409.000000
4.80833333,-409.000000
